Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Luteimonas salinilitoris,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Luteimonas,Luteimonas salinilitoris
Corallincola platygyrae,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Corallincola,Corallincola platygyrae
Paenibacillus thalictri,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus thalictri
Amycolatopsis melonis,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis melonis
Streptomyces fuscichromogenes,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces fuscichromogenes
Palleronia salina,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Palleronia,Palleronia salina
Sphingomonas xinjiangensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas xinjiangensis
Mycolicibacterium brisbanense,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium brisbanense
Deinobacterium chartae,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinobacterium,Deinobacterium chartae
Sphingomonas rubra,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas rubra
Mesorhizobium muleiense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium muleiense
Burkholderia puraquae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia puraquae
Sediminivirga luteola,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Sediminivirga,Sediminivirga luteola
Pinisolibacter aquiterrae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Ancalomicrobiaceae,Pinisolibacter,Pinisolibacter aquiterrae
Tabrizicola oligotrophica,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tabrizicola,Tabrizicola oligotrophica
Brucella daejeonensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella daejeonensis
Nocardioides koreensis,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides koreensis
Belliella alkalica,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Belliella,Belliella alkalica
Kocuria salsicia,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,Kocuria salsicia
Rufibacter quisquiliarum,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter quisquiliarum
Novosphingobium clariflavum,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium clariflavum
Abyssibacter profundi,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Oceanococcaceae,Abyssibacter,Abyssibacter profundi
Bradyrhizobium agreste,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium agreste
Paenibacillus cymbidii,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus cymbidii
Streptomyces lavendulocolor,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lavendulocolor
Aliidiomarina haloalkalitolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Aliidiomarina,Aliidiomarina haloalkalitolerans
Streptosporangium carneum,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium carneum
Undibacterium umbellatum,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Undibacterium umbellatum
Deinococcus sedimenti,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sedimenti
Methylobrevis albus,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Methylobrevis,Methylobrevis albus
Desulfonatronum thioautotrophicum,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,Desulfonatronum thioautotrophicum
Ideonella lacteola,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Ideonella,Ideonella lacteola
Microvirga puerhi,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga puerhi
Nocardia sputi,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia sputi
Arenibaculum pallidiluteum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Arenibaculum,Arenibaculum pallidiluteum
Mesonia oceanica,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesonia,Mesonia oceanica
Prauserella endophytica,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Prauserella,Prauserella endophytica
Lawsonibacter faecis,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Lawsonibacter,Lawsonibacter faecis
Mangrovibacter plantisponsor,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Mangrovibacter,Mangrovibacter plantisponsor
Clostridium hydrogeniformans,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium hydrogeniformans
Saccharothrix mutabilis subsp. mutabilis,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix,Saccharothrix mutabilis,Saccharothrix mutabilis subsp. mutabilis
Rhodoflexus caldus,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Thermoflexibacteraceae,Rhodoflexus,Rhodoflexus caldus
Paracoccus salipaludis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus salipaludis
Pseudidiomarina atlantica,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Pseudidiomarina,Pseudidiomarina atlantica
Pseudonocardia oroxyli,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia oroxyli
Sphingobium cyanobacteriorum,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium cyanobacteriorum
Vibrio methylphosphonaticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio methylphosphonaticus
Flavobacterium salmonis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium salmonis
Consotaella salsifontis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Consotaella,Consotaella salsifontis
Ochrobactrum chromiisoli,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Ochrobactrum,Ochrobactrum chromiisoli
Flaviaesturariibacter flavus,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Flaviaesturariibacter,Flaviaesturariibacter flavus
Cyclobacterium roseum,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium roseum
Microlunatus aurantiacus,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus aurantiacus
Streptomyces galilaeus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces galilaeus
Shewanella seohaensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella seohaensis
Sporobacter termitidis,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Sporobacter,Sporobacter termitidis
Brevibacterium metallidurans,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium metallidurans
Croceifilum oryzae,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Croceifilum,Croceifilum oryzae
Oribacterium asaccharolyticum,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum
Tessaracoccus lapidicaptus,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,Tessaracoccus lapidicaptus
Brevibacillus fluminis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus fluminis
Amycolatopsis ultiminotia,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis ultiminotia
Streptomyces diacarni,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces diacarni
Longimonas halophila,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Salisaetaceae,Longimonas,Longimonas halophila
Streptomyces plumbiresistens,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces plumbiresistens
Bartonella callosciuri,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella callosciuri
Legionella nautarum,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella nautarum
Deinococcus aquiradiocola,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus aquiradiocola
Williamsia sterculiae,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Williamsia,Williamsia sterculiae
Chryseobacterium elymi,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium elymi
Furfurilactobacillus milii,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Furfurilactobacillus,Furfurilactobacillus milii
Hymenobacter citatus,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter citatus
Paenibacillus motobuensis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus motobuensis
Cognatazoarcus halotolerans,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Cognatazoarcus,Cognatazoarcus halotolerans
Paracoccus solventivorans,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus solventivorans
Acinetobacter amyesii,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter amyesii
Acetobacter sicerae,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter sicerae
Paenibacillus baimaensis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus baimaensis
Sulfurihydrogenibium subterraneum,Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,Sulfurihydrogenibium subterraneum,Sulfurihydrogenibium subterraneum
Phytoactinopolyspora limicola,Bacteria,Actinomycetota,Actinomycetes,Jiangellales,Jiangellaceae,Phytoactinopolyspora,Phytoactinopolyspora limicola
Castellaniella daejeonensis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella,Castellaniella daejeonensis
Aminobacter aganoensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter,Aminobacter aganoensis
Brevibacterium ammoniilyticum,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium ammoniilyticum
Mesorhizobium denitrificans,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium denitrificans
Dethiosulfatarculus sandiegensis,Bacteria,Thermodesulfobacteriota,Desulfarculia,Desulfarculales,Desulfarculaceae,Dethiosulfatarculus,Dethiosulfatarculus sandiegensis
Actinoallomurus oryzae,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,Actinoallomurus oryzae
Leucobacter japonicus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter japonicus
Dechloromonas hortensis,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas hortensis
Salinibius halmophilus,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Salinibius,Salinibius halmophilus
Solitalea agri,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea agri
Sulfoacidibacillus ferrooxidans,Bacteria,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Sulfoacidibacillus,Sulfoacidibacillus ferrooxidans
Acidiluteibacter ferrifornacis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Acidiluteibacter,Acidiluteibacter ferrifornacis
Limimaricola soesokkakensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Limimaricola,Limimaricola soesokkakensis
Rubrimonas cliftonensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubrimonas,Rubrimonas cliftonensis
Aestuariibaculum marinum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aestuariibaculum,Aestuariibaculum marinum
Rhizobium acaciae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium acaciae
Microbacterium pullorum,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium pullorum
Nucisporomicrobium flavum,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Nucisporomicrobium,Nucisporomicrobium flavum
Pseudomonas botevensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas botevensis
Marinobacter lacisalsi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter lacisalsi
Siccirubricoccus phaeus,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Siccirubricoccus,Siccirubricoccus phaeus
Mannheimia cairinae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia cairinae
Photobacterium sanctipauli,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium sanctipauli
Halopseudomonas pertucinogena,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas,Halopseudomonas pertucinogena
Cellulomonas humilata,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas humilata
Paenibacillus sambharensis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sambharensis
Nocardioides terrae,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides terrae
Catellatospora sichuanensis,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Catellatospora,Catellatospora sichuanensis
Lutibacter litoralis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,Lutibacter litoralis
Flavobacterium fragile,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium fragile
Salsuginibacillus halophilus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Salsuginibacillus,Salsuginibacillus halophilus
Rhizobium freirei,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium freirei
Azospirillum palustre,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum palustre
Sphingopyxis soli,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis soli
Flagellimonas hadalis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flagellimonas,Flagellimonas hadalis
Metallococcus carri,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Metallococcus,Metallococcus carri
Peribacillus castrilensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus castrilensis
Nocardioides turkmenicus,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides turkmenicus
Ferrimonas gelatinilytica,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,Ferrimonas gelatinilytica
Terrimonas pollutisoli,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas pollutisoli
Nitratireductor soli,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Nitratireductor,Nitratireductor soli
Mesobacterium pallidum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Mesobacterium,Mesobacterium pallidum
Sinisalibacter aestuarii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sinisalibacter,Sinisalibacter aestuarii
Nocardioides ferulae,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides ferulae
Massilia eurypsychrophila,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia eurypsychrophila
Nonomuraea rosea,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea rosea
Denitromonas halophila,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Denitromonas,Denitromonas halophila
Halalkalibacter urbisdiaboli,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Halalkalibacter,Halalkalibacter urbisdiaboli
Companilactobacillus mishanensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus mishanensis
Maribacter arcticus,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter arcticus
Brumimicrobium aurantiacum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Brumimicrobium,Brumimicrobium aurantiacum
Marinobacter iranensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter iranensis
Vogesella amnigena,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,Vogesella amnigena
Billgrantia saliphila,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Billgrantia,Billgrantia saliphila
Streptomyces sedi,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sedi
Sphingomonas lacusdianchii,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas lacusdianchii
Acidimangrovimonas pyrenivorans,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Acidimangrovimonas,Acidimangrovimonas pyrenivorans
Dyella monticola,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dyella,Dyella monticola
Blastomonas natatoria,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,Blastomonas natatoria
Billgrantia zhangzhouensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Billgrantia,Billgrantia zhangzhouensis
Serpens gallinarum,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Serpens gallinarum
Paraburkholderia rhizosphaerae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia rhizosphaerae
Viridibacillus arvi,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Viridibacillus,Viridibacillus arvi
Haloferax massiliensis,Bacteria,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax massiliensis
Nakamurella endophytica,Bacteria,Actinomycetota,Actinomycetes,Nakamurellales,Nakamurellaceae,Nakamurella,Nakamurella endophytica
Proteiniclasticum aestuarii,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Proteiniclasticum,Proteiniclasticum aestuarii
Aureimonas pseudogalii,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aureimonas,Aureimonas pseudogalii
Paraburkholderia dinghuensis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia dinghuensis
Mycoplana ramosa,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Mycoplana,Mycoplana ramosa
Bacillus ectoiniformans,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus ectoiniformans
Paracoccus aestuariivivens,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus aestuariivivens
